artist;title;description;dateSince;material;image;lat;lng;animal
De artiest volgt nog;Pelikanen en oude-mannenkoppen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.353156404142801;POINT4.8726516012663;pelikaan
De artiest volgt nog;Zonder titel - Onbekend;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;0;POINT0;pelikaan
De artiest volgt nog;Pinguins;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.343518239555998;POINT4.8830097926504;pinguin
De artiest volgt nog;Vogelparade;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.312998004118498;POINT4.95492000134664;pinguin, vogel
De artiest volgt nog;Rode poes;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;0;POINT0;poes, kat
De artiest volgt nog;Meisje op Pony;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.355243504144099;POINT4.81998700121377;pony
De artiest volgt nog;Purperslak;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.355198496483901;POINT4.79272127270142;purperslak
De artiest volgt nog;Man op ram;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.349448004140498;POINT4.87978140127325;ram
De artiest volgt nog;Ramskoppen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.356442504144702;POINT4.87990810127371;ram
De artiest volgt nog;Ram met rol;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.350635686768797;POINT4.90550691293843;ram, vogel, vos
De artiest volgt nog;Rattenvanger van Hamelen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354114195359102;POINT4.93785872846491;rat
De artiest volgt nog;Het orgel - Zonder titel;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.292932649324001;POINT4.97461259501622;reiger
De artiest volgt nog;RVS beeld in water;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.342641563301399;POINT4.88209247716634;reiger
De artiest volgt nog;Vliegende Reiger;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354081704142999;POINT4.93767410133132;reiger
De artiest volgt nog;Reiger, Eekhoorn, Hert;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354081704142999;POINT4.93767410133132;reiger, eekhoorn, hert
De artiest volgt nog;Roofvogel en slang;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.348596204140101;POINT4.86048380125392;roofvogel, vogel, slang
De artiest volgt nog;Vondelbrug;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.360326027221497;POINT4.87710091352694;roofvogel, zwijn, leguaan
De artiest volgt nog;De Goede Herder;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.367184504151197;POINT4.83649860123086;schaap
De artiest volgt nog;Schaap  met vijf poten;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.359208623329501;POINT4.79104757427465;schaap
De artiest volgt nog;Schaapjes;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.359096007290702;POINT4.80493689075796;schaap
De artiest volgt nog;Schaapjes - Sondaar-Dobbelman;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.359048759658002;POINT4.79154053495542;schaap
De artiest volgt nog;Man en schaap;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.366166509263103;POINT4.95165825024723;schaap
De artiest volgt nog;Zuildragende schildpad;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.369391311682499;POINT4.90163898632546;schildpad
De artiest volgt nog;Dierenfontein;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.351279004141603;POINT4.88323500127679;schildpad, rat, kikker, slak, tor, salamander
De artiest volgt nog;De slak;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.299730004110302;POINT4.99536500138647;slak
De artiest volgt nog;De Slang;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.364358350500297;POINT4.86595630771767;slang
De artiest volgt nog;Mozartbrug;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.349575843195197;POINT4.88471031316783;slang
De artiest volgt nog;Slang en aap;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3497018041407;POINT4.8698115012633;slang, aap
De artiest volgt nog;Slang en aap;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.348949604140202;POINT4.87473120126818;slang, aap
De artiest volgt nog;Zes anamorphosen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.366144016815298;POINT4.86856842176032;slang, kameleon, vink, bidsprinkhaan, pitbull
De artiest volgt nog;Brug 404;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3482141471654;POINT4.89123601573053;slang, vis
De artiest volgt nog;Leeszaal, gevelsteen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3505860041411;POINT4.89902990129254;slang
De artiest volgt nog;Man met ketting & man met slang;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3461019041385;POINT4.88515980127846;slang
De artiest volgt nog;Steenbok;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.359713504146903;POINT4.78068450117473;steenbok
De artiest volgt nog;Varkenskop in ronde omlijsting;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.368015779612499;POINT4.94027994624812;varken
De artiest volgt nog;Bestrating met beesten;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3680978042132;POINT4.93726943757732;varken, paard, ezel
De artiest volgt nog;Gevelmozaïek, Twee vissen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.323320304124998;POINT4.87234560126456;vis
De artiest volgt nog;N.L.I;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3509656041414;POINT4.89118210128471;vis
De artiest volgt nog;Noordzeevissen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.388851081968603;POINT4.89020848411518;vis
De artiest volgt nog;Onder water;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.380581004159197;POINT4.81773700121277;vis
De artiest volgt nog;Putdeksels met gedichten;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.354320413612697;POINT4.98264312881768;vis
De artiest volgt nog;Twee vissen en glaskunst;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.376127004156501;POINT4.82421800121903;vis
De artiest volgt nog;Vissen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3612397578867;POINT4.9762487425201;vis
De artiest volgt nog;Waterdraagster met Vissen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.368079408261899;POINT4.8676729214891;vis
De artiest volgt nog;Zeemeermin-fontein;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.343238266875403;POINT4.88388874255509;vis
De artiest volgt nog;Toekomst der Jeugd;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.352478504142503;POINT4.82448020121813;vis, kat
De artiest volgt nog;Koi fish;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.353757732419901;POINT4.91437089556546;vis, koi, karper
De artiest volgt nog;Maskerkop en vis;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3497018041407;POINT4.8698115012633;vis
De artiest volgt nog;Land, water, licht;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.340383120141503;POINT4.84742379405717;vis, vogel
De artiest volgt nog;Vissen, boten, vogels;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.384117004161197;POINT4.81524800121046;vis, vogel
De artiest volgt nog;Vlindermolen;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.341614616696702;POINT4.81150606338418;vlinder
De artiest volgt nog;Vlinders;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.365590002910999;POINT4.94615435734315;vlinder
De artiest volgt nog;Zonder titel - Gerrit Benner;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.3535589041431;POINT4.8324021012261;vlinder
De artiest volgt nog;Muurschildering West;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.387508004163003;POINT4.87854600127385;vlinder
De artiest volgt nog;De blauwe vogel van het geluk;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;0;POINT0;vogel
De artiest volgt nog;Jongen, meisje, vogels;De beschrijving volgt nog.;De plaatsingsdatum volgt nog;Het materiaal volgt nog;testimage;POINT52.382048004159998;POINT4.83275800122785;vogel
